DEBUG - 2020-10-11 14:22:19,822 - Begin program.
INFO - 2020-10-11 14:22:19,822 - Data base connection:
DEBUG - 2020-10-11 14:22:24,089 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 14:22:24,502 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 14:22:24,685 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 14:22:24,886 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 14:22:25,094 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 14:22:25,289 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 14:22:31,346 - End program. 


DEBUG - 2020-10-11 21:13:12,354 - Begin program.
INFO - 2020-10-11 21:13:12,369 - Data base connection:
DEBUG - 2020-10-11 21:13:15,114 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:13:15,494 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:13:15,708 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:13:15,909 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:13:16,109 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:13:16,310 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 21:13:20,309 - End program. 


DEBUG - 2020-10-11 21:13:31,948 - Begin program.
INFO - 2020-10-11 21:13:31,948 - Data base connection:
DEBUG - 2020-10-11 21:13:33,275 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:13:33,474 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:13:33,639 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:13:33,799 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:13:33,968 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:13:34,130 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 21:13:48,241 - Begin program.
INFO - 2020-10-11 21:13:48,241 - Data base connection:
DEBUG - 2020-10-11 21:13:49,530 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:13:49,733 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:13:49,930 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:13:50,131 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:13:50,332 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:13:50,532 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 21:14:14,368 - Begin program.
INFO - 2020-10-11 21:14:14,368 - Data base connection:
DEBUG - 2020-10-11 21:14:15,523 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:14:15,725 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:14:15,923 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:14:16,124 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:14:16,325 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:14:16,525 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 21:14:17,987 - End program. 


DEBUG - 2020-10-11 21:14:37,292 - Begin program.
INFO - 2020-10-11 21:14:37,292 - Data base connection:
DEBUG - 2020-10-11 21:14:38,505 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:14:38,707 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:14:38,905 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:14:39,064 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:14:39,223 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:14:39,407 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 21:14:58,478 - Begin program.
INFO - 2020-10-11 21:14:58,479 - Data base connection:
